Date;Precipitation;PET;Flow_(m3/s);Qobs
1/01/1991;14.10;0.46;8.45;2.808
2/01/1991;3.70;0.46;14.90;4.951
3/01/1991;7.10;0.47;13.60;4.519
4/01/1991;9.30;0.47;13.20;4.386
5/01/1991;7.10;0.48;16.10;5.350
6/01/1991;1.20;0.48;14.00;4.652
7/01/1991;11.70;0.49;11.70;3.888
8/01/1991;26.20;0.49;18.80;6.247
9/01/1991;33.60;0.50;33.00;10.966
10/01/1991;51.10;0.50;44.60;14.821
11/01/1991;4.10;0.54;27.60;9.172
12/01/1991;2.70;0.55;21.80;7.244
13/01/1991;0.20;0.56;17.50;5.815
14/01/1991;0.00;0.56;14.70;4.885
15/01/1991;0.00;0.56;13.00;4.320
16/01/1991;3.60;0.56;11.70;3.888
17/01/1991;0.10;0.56;11.60;3.855
18/01/1991;16.50;0.56;11.00;3.655
19/01/1991;0.20;0.55;16.30;5.417
20/01/1991;0.00;0.55;11.00;3.655
21/01/1991;0.20;0.49;9.50;3.157
22/01/1991;0.50;0.48;9.15;3.041
23/01/1991;0.00;0.48;8.65;2.874
24/01/1991;0.00;0.47;8.25;2.742
25/01/1991;0.00;0.47;7.70;2.559
26/01/1991;0.00;0.47;7.40;2.459
27/01/1991;0.00;0.48;7.05;2.343
28/01/1991;0.00;0.48;6.80;2.260
29/01/1991;0.00;0.49;6.50;2.160
30/01/1991;3.60;0.49;6.25;2.077
31/01/1991;0.00;0.50;6.40;2.127
1/02/1991;0.00;0.53;6.15;2.044
2/02/1991;0.00;0.54;5.75;1.911
3/02/1991;0.00;0.55;5.35;1.778
4/02/1991;0.00;0.57;5.05;1.678
5/02/1991;0.00;0.58;4.89;1.625
6/02/1991;0.00;0.59;4.69;1.559
7/02/1991;3.60;0.60;4.35;1.446
8/02/1991;1.90;0.61;4.14;1.376
9/02/1991;5.60;0.63;4.14;1.376
10/02/1991;1.00;0.64;4.14;1.376
11/02/1991;0.00;0.64;4.14;1.376
12/02/1991;5.80;0.66;4.16;1.382
13/02/1991;0.00;0.67;5.45;1.811
14/02/1991;0.00;0.69;5.40;1.794
15/02/1991;11.30;0.71;9.55;3.174
16/02/1991;10.20;0.73;14.50;4.818
17/02/1991;0.00;0.75;11.40;3.788
18/02/1991;0.00;0.77;8.00;2.658
19/02/1991;0.00;0.80;6.75;2.243
20/02/1991;0.00;0.82;6.25;2.077
21/02/1991;6.00;0.87;6.80;2.260
22/02/1991;6.00;0.89;8.05;2.675
23/02/1991;0.00;0.91;8.85;2.941
24/02/1991;0.20;0.94;6.70;2.226
25/02/1991;0.00;0.96;6.10;2.027
26/02/1991;0.00;0.99;5.90;1.961
27/02/1991;0.00;1.01;5.85;1.944
28/02/1991;0.00;1.03;5.75;1.911
1/03/1991;0.00;1.05;5.40;1.794
2/03/1991;0.60;1.08;5.30;1.761
3/03/1991;0.00;1.10;5.40;1.794
4/03/1991;1.00;1.12;5.15;1.711
5/03/1991;0.90;1.14;5.10;1.695
6/03/1991;2.10;1.17;5.25;1.745
7/03/1991;10.00;1.19;5.30;1.761
8/03/1991;13.80;1.21;10.50;3.489
9/03/1991;0.40;1.23;11.30;3.755
10/03/1991;4.20;1.25;7.30;2.426
11/03/1991;0.60;1.26;7.30;2.426
12/03/1991;0.00;1.28;6.75;2.243
13/03/1991;0.00;1.31;6.15;2.044
14/03/1991;0.00;1.33;5.55;1.844
15/03/1991;1.40;1.35;5.50;1.828
16/03/1991;18.60;1.38;8.75;2.908
17/03/1991;0.40;1.41;12.50;4.154
18/03/1991;6.50;1.43;9.05;3.007
19/03/1991;0.10;1.46;10.10;3.356
20/03/1991;3.70;1.49;8.65;2.874
21/03/1991;0.00;1.54;9.35;3.107
22/03/1991;0.90;1.57;8.85;2.941
23/03/1991;0.00;1.60;7.90;2.625
24/03/1991;0.00;1.62;7.50;2.492
25/03/1991;0.00;1.65;6.95;2.310
26/03/1991;0.00;1.67;6.50;2.160
27/03/1991;0.00;1.70;6.40;2.127
28/03/1991;0.00;1.72;5.95;1.977
29/03/1991;0.00;1.74;5.65;1.878
30/03/1991;0.00;1.76;5.25;1.745
31/03/1991;0.00;1.78;5.00;1.662
1/04/1991;0.00;1.76;4.88;1.622
2/04/1991;4.00;1.78;5.05;1.678
3/04/1991;5.20;1.80;6.05;2.010
4/04/1991;9.90;1.83;7.50;2.492
5/04/1991;0.40;1.86;8.30;2.758
6/04/1991;6.00;1.89;6.50;2.160
7/04/1991;0.00;1.92;6.95;2.310
8/04/1991;0.00;1.95;5.45;1.811
9/04/1991;0.00;1.99;4.95;1.645
10/04/1991;0.00;2.02;4.60;1.529
11/04/1991;0.00;2.09;4.31;1.432
12/04/1991;1.20;2.13;4.24;1.409
13/04/1991;0.00;2.17;4.17;1.386
14/04/1991;0.00;2.20;4.07;1.352
15/04/1991;0.00;2.24;3.91;1.299
16/04/1991;0.00;2.28;3.74;1.243
17/04/1991;0.00;2.32;3.52;1.170
18/04/1991;0.90;2.35;3.38;1.123
19/04/1991;3.00;2.39;3.74;1.243
20/04/1991;0.00;2.43;4.22;1.402
21/04/1991;0.00;2.50;4.00;1.329
22/04/1991;0.00;2.53;3.71;1.233
23/04/1991;0.00;2.57;3.45;1.146
24/04/1991;3.40;2.60;3.30;1.097
25/04/1991;0.30;2.63;3.64;1.210
26/04/1991;2.50;2.65;3.92;1.303
27/04/1991;0.00;2.68;4.37;1.452
28/04/1991;0.00;2.70;3.66;1.216
29/04/1991;3.30;2.72;3.51;1.166
30/04/1991;14.00;2.73;3.98;1.323
1/05/1991;1.40;2.69;7.15;2.376
2/05/1991;0.00;2.71;9.10;3.024
3/05/1991;9.10;2.72;11.10;3.689
4/05/1991;1.80;2.74;12.50;4.154
5/05/1991;0.00;2.76;13.10;4.353
6/05/1991;2.00;2.79;11.60;3.855
7/05/1991;3.30;2.81;11.80;3.921
8/05/1991;0.00;2.83;13.40;4.453
9/05/1991;0.00;2.86;11.90;3.954
10/05/1991;0.00;2.89;11.30;3.755
11/05/1991;0.00;2.96;11.10;3.689
12/05/1991;0.70;2.99;11.00;3.655
13/05/1991;0.00;3.02;6.40;2.127
14/05/1991;1.00;3.04;2.71;0.901
15/05/1991;0.00;3.06;2.72;0.904
16/05/1991;0.00;3.09;2.50;0.831
17/05/1991;0.00;3.11;2.50;0.831
18/05/1991;0.00;3.13;2.50;0.831
19/05/1991;0.30;3.15;2.50;0.831
20/05/1991;0.00;3.16;2.50;0.831
21/05/1991;0.00;3.14;2.50;0.831
22/05/1991;0.00;3.15;2.36;0.784
23/05/1991;0.00;3.17;2.20;0.731
24/05/1991;0.00;3.19;2.14;0.711
25/05/1991;0.00;3.20;2.09;0.695
26/05/1991;0.00;3.22;1.84;0.611
27/05/1991;0.00;3.24;1.71;0.568
28/05/1991;0.00;3.26;1.75;0.582
29/05/1991;0.00;3.29;1.71;0.568
30/05/1991;0.00;3.31;1.67;0.555
31/05/1991;0.00;3.33;1.70;0.565
1/06/1991;0.00;3.43;1.76;0.585
2/06/1991;0.00;3.45;1.72;0.572
3/06/1991;0.00;3.47;1.67;0.555
4/06/1991;5.80;3.48;1.55;0.515
5/06/1991;1.20;3.49;1.53;0.508
6/06/1991;6.50;3.50;1.73;0.575
7/06/1991;0.20;3.50;1.95;0.648
8/06/1991;0.30;3.50;2.71;0.901
9/06/1991;5.40;3.49;1.77;0.588
10/06/1991;0.00;3.49;1.55;0.515
11/06/1991;0.30;3.38;1.49;0.495
12/06/1991;0.00;3.37;1.45;0.482
13/06/1991;2.10;3.36;1.40;0.465
14/06/1991;0.00;3.36;1.36;0.452
15/06/1991;0.20;3.36;1.31;0.435
16/06/1991;0.40;3.36;1.28;0.425
17/06/1991;0.30;3.36;1.28;0.425
18/06/1991;0.20;3.37;1.42;0.472
19/06/1991;6.50;3.38;1.37;0.455
20/06/1991;4.20;3.39;1.95;0.648
21/06/1991;2.70;3.46;2.79;0.927
22/06/1991;0.10;3.47;2.47;0.821
23/06/1991;1.20;3.48;1.57;0.522
24/06/1991;0.30;3.50;1.46;0.485
25/06/1991;2.80;3.51;1.53;0.508
26/06/1991;11.80;3.52;1.59;0.528
27/06/1991;0.20;3.53;1.63;0.542
28/06/1991;0.00;3.55;1.52;0.505
29/06/1991;0.00;3.56;1.34;0.445
30/06/1991;0.00;3.57;1.15;0.382
1/07/1991;0.00;3.62;1.17;0.389
2/07/1991;8.80;3.63;1.33;0.442
3/07/1991;0.20;3.63;1.51;0.502
4/07/1991;0.00;3.64;1.37;0.455
5/07/1991;7.20;3.63;1.42;0.472
6/07/1991;8.50;3.63;1.54;0.512
7/07/1991;5.40;3.62;3.47;1.153
8/07/1991;0.60;3.61;3.77;1.253
9/07/1991;0.00;3.60;2.99;0.994
10/07/1991;0.00;3.58;1.89;0.628
11/07/1991;0.20;3.47;1.40;0.465
12/07/1991;0.00;3.45;1.35;0.449
13/07/1991;7.30;3.44;1.25;0.415
14/07/1991;0.00;3.43;1.79;0.595
15/07/1991;1.10;3.42;1.47;0.488
16/07/1991;0.00;3.42;1.41;0.469
17/07/1991;0.00;3.42;1.25;0.415
18/07/1991;1.30;3.42;1.16;0.385
19/07/1991;0.00;3.42;1.28;0.425
20/07/1991;0.00;3.43;1.23;0.409
21/07/1991;0.00;3.58;1.15;0.382
22/07/1991;0.00;3.59;1.04;0.346
23/07/1991;1.00;3.59;1.05;0.349
24/07/1991;3.00;3.59;1.08;0.359
25/07/1991;0.00;3.59;1.18;0.392
26/07/1991;0.00;3.58;1.18;0.392
27/07/1991;0.00;3.57;1.08;0.359
28/07/1991;0.00;3.55;1.05;0.349
29/07/1991;0.20;3.53;0.95;0.316
30/07/1991;1.00;3.51;0.93;0.309
31/07/1991;0.00;3.48;0.94;0.314
1/08/1991;0.00;3.34;1.00;0.332
2/08/1991;0.00;3.31;0.99;0.329
3/08/1991;3.00;3.28;0.91;0.304
4/08/1991;0.00;3.25;0.87;0.289
5/08/1991;0.00;3.23;0.91;0.301
6/08/1991;0.00;3.21;0.91;0.304
7/08/1991;3.00;3.19;0.94;0.312
8/08/1991;0.00;3.17;1.00;0.332
9/08/1991;0.00;3.15;0.97;0.321
10/08/1991;0.00;3.13;0.93;0.309
11/08/1991;0.20;3.15;0.93;0.309
12/08/1991;0.00;3.14;0.93;0.309
13/08/1991;0.00;3.12;0.93;0.309
14/08/1991;0.00;3.11;0.93;0.309
15/08/1991;0.10;3.10;0.93;0.309
16/08/1991;0.00;3.08;0.96;0.319
17/08/1991;0.00;3.07;0.93;0.309
18/08/1991;0.00;3.06;0.93;0.309
19/08/1991;0.00;3.04;0.88;0.291
20/08/1991;0.00;3.03;0.86;0.286
21/08/1991;0.00;3.06;0.86;0.286
22/08/1991;3.50;3.05;0.86;0.287
23/08/1991;1.50;3.03;0.88;0.294
24/08/1991;0.00;3.01;0.91;0.302
25/08/1991;0.00;2.98;0.93;0.309
26/08/1991;0.00;2.95;0.92;0.307
27/08/1991;0.00;2.92;0.91;0.304
28/08/1991;0.00;2.89;0.91;0.301
29/08/1991;0.00;2.86;0.89;0.297
30/08/1991;0.00;2.82;0.88;0.294
31/08/1991;0.00;2.78;0.88;0.291
1/09/1991;0.00;2.67;0.86;0.287
2/09/1991;0.00;2.63;0.85;0.284
3/09/1991;0.00;2.59;0.85;0.281
4/09/1991;0.00;2.55;0.83;0.277
5/09/1991;0.00;2.51;0.82;0.274
6/09/1991;0.00;2.47;0.82;0.272
7/09/1991;0.00;2.44;0.81;0.269
8/09/1991;0.00;2.40;0.80;0.266
9/09/1991;0.20;2.36;0.73;0.244
10/09/1991;0.00;2.33;0.73;0.243
11/09/1991;0.00;2.31;0.73;0.243
12/09/1991;0.00;2.28;0.73;0.243
13/09/1991;0.00;2.24;0.73;0.243
14/09/1991;0.00;2.21;0.73;0.243
15/09/1991;1.10;2.17;0.73;0.243
16/09/1991;0.70;2.14;0.69;0.229
17/09/1991;0.00;2.10;0.60;0.199
18/09/1991;0.20;2.07;0.60;0.199
19/09/1991;0.00;2.03;0.60;0.199
20/09/1991;0.00;2.00;0.60;0.199
21/09/1991;1.70;1.96;0.60;0.199
22/09/1991;2.00;1.92;0.60;0.199
23/09/1991;1.50;1.88;0.60;0.199
24/09/1991;13.20;1.85;0.63;0.209
25/09/1991;9.70;1.81;0.95;0.317
26/09/1991;0.20;1.78;0.94;0.311
27/09/1991;13.20;1.74;0.79;0.264
28/09/1991;1.20;1.71;1.58;0.525
29/09/1991;6.20;1.67;1.58;0.525
30/09/1991;1.50;1.63;1.25;0.415
1/10/1991;0.00;1.58;1.07;0.356
2/10/1991;0.00;1.55;0.97;0.321
3/10/1991;0.50;1.51;0.92;0.307
4/10/1991;0.00;1.48;0.91;0.304
5/10/1991;3.10;1.45;0.91;0.301
6/10/1991;0.00;1.42;0.89;0.297
7/10/1991;1.40;1.39;0.88;0.294
8/10/1991;3.80;1.36;0.88;0.291
9/10/1991;1.70;1.34;0.87;0.289
10/10/1991;10.40;1.31;0.92;0.307
11/10/1991;1.40;1.32;1.08;0.359
12/10/1991;4.00;1.29;1.14;0.379
13/10/1991;9.60;1.26;2.96;0.984
14/10/1991;11.30;1.24;3.03;1.007
15/10/1991;0.00;1.21;2.20;0.731
16/10/1991;1.40;1.18;1.66;0.552
17/10/1991;2.50;1.15;1.49;0.495
18/10/1991;8.50;1.12;1.49;0.495
19/10/1991;0.00;1.09;1.44;0.479
20/10/1991;14.10;1.05;1.69;0.562
21/10/1991;5.80;0.97;3.83;1.273
22/10/1991;0.00;0.93;2.20;0.731
23/10/1991;0.00;0.90;1.59;0.528
24/10/1991;0.00;0.87;1.39;0.462
25/10/1991;0.00;0.85;1.32;0.439
26/10/1991;0.00;0.82;1.26;0.419
27/10/1991;2.10;0.80;1.20;0.399
28/10/1991;1.70;0.78;1.20;0.399
29/10/1991;14.80;0.76;1.31;0.435
30/10/1991;1.00;0.74;4.40;1.462
31/10/1991;12.70;0.73;2.46;0.817
1/11/1991;9.50;0.74;4.80;1.595
2/11/1991;1.00;0.73;5.45;1.811
3/11/1991;14.10;0.71;3.37;1.120
4/11/1991;6.20;0.70;5.15;1.711
5/11/1991;6.00;0.69;5.80;1.927
6/11/1991;0.20;0.68;5.15;1.711
7/11/1991;1.00;0.67;3.52;1.170
8/11/1991;3.40;0.67;2.86;0.950
9/11/1991;1.90;0.66;2.93;0.974
10/11/1991;0.70;0.65;2.80;0.930
11/11/1991;14.30;0.66;3.00;0.997
12/11/1991;15.10;0.65;7.60;2.526
13/11/1991;6.20;0.64;11.00;3.655
14/11/1991;1.40;0.64;7.65;2.542
15/11/1991;2.50;0.63;5.50;1.828
16/11/1991;5.20;0.63;4.75;1.578
17/11/1991;4.90;0.62;5.10;1.695
18/11/1991;7.50;0.62;6.10;2.027
19/11/1991;9.60;0.61;9.15;3.041
20/11/1991;0.00;0.60;9.10;3.024
21/11/1991;0.00;0.59;6.10;2.027
22/11/1991;0.00;0.59;5.10;1.695
23/11/1991;0.00;0.58;4.72;1.568
24/11/1991;0.00;0.58;4.52;1.502
25/11/1991;0.50;0.57;4.34;1.442
26/11/1991;0.00;0.57;4.19;1.392
27/11/1991;0.10;0.57;3.98;1.323
28/11/1991;0.00;0.57;3.74;1.243
29/11/1991;0.00;0.57;3.60;1.196
30/11/1991;0.20;0.56;3.48;1.156
1/12/1991;0.20;0.58;3.36;1.117
2/12/1991;0.00;0.58;3.25;1.080
3/12/1991;0.00;0.58;3.16;1.050
4/12/1991;0.00;0.58;3.06;1.017
5/12/1991;0.00;0.57;2.97;0.987
6/12/1991;0.00;0.57;2.88;0.957
7/12/1991;0.00;0.57;2.79;0.927
8/12/1991;0.00;0.56;2.69;0.894
9/12/1991;0.00;0.56;2.60;0.864
10/12/1991;0.00;0.55;2.51;0.834
11/12/1991;0.00;0.53;2.42;0.804
12/12/1991;0.00;0.52;2.33;0.774
13/12/1991;0.00;0.51;2.23;0.741
14/12/1991;0.00;0.51;2.27;0.754
15/12/1991;1.90;0.50;2.33;0.774
16/12/1991;0.30;0.50;2.58;0.857
17/12/1991;2.10;0.49;2.66;0.884
18/12/1991;0.00;0.49;2.66;0.884
19/12/1991;14.10;0.48;2.95;0.980
20/12/1991;6.20;0.48;6.85;2.276
21/12/1991;2.10;0.47;6.25;2.077
22/12/1991;0.20;0.46;4.61;1.532
23/12/1991;0.30;0.46;4.12;1.369
24/12/1991;0.00;0.46;3.25;1.080
25/12/1991;0.00;0.46;2.88;0.957
26/12/1991;0.90;0.46;2.67;0.887
27/12/1991;0.10;0.46;2.62;0.871
28/12/1991;0.00;0.46;2.58;0.857
29/12/1991;0.00;0.46;2.54;0.844
30/12/1991;0.00;0.46;2.50;0.831
31/12/1991;0.20;0.46;2.47;0.821
1/01/1992;0.00;0.46;2.43;0.808
2/01/1992;0.00;0.46;2.40;0.798
3/01/1992;0.20;0.47;2.36;0.784
4/01/1992;0.00;0.47;2.33;0.774
5/01/1992;0.00;0.48;2.29;0.761
6/01/1992;0.00;0.48;2.26;0.751
7/01/1992;1.60;0.49;2.22;0.738
8/01/1992;7.30;0.49;2.66;0.884
9/01/1992;5.20;0.50;5.10;1.695
10/01/1992;2.30;0.50;6.65;2.210
11/01/1992;0.00;0.54;5.05;1.678
12/01/1992;0.00;0.55;3.71;1.233
