date,flow_obs,flow_sim,precipitation_mean,tmin_mean,tmax_mean
1981-01-01,,1.0,3.757,1.851,15.455
1981-01-02,,1.107,4.311,1.29,13.67
1981-01-03,,1.196,6.215,2.387,13.372
1981-01-04,,1.217,8.439,2.138,13.272
1981-01-05,,1.188,8.357,1.718,11.99
1981-01-06,,1.14,4.58,1.092,12.285
1981-01-07,,1.113,4.822,2.455,12.981
1981-01-08,,1.107,2.201,2.728,10.763
1981-01-09,,1.104,2.368,1.819,13.06
1981-01-10,,1.092,4.454,2.487,14.797
1981-01-11,,1.077,1.837,1.947,13.972
1981-01-12,,1.017,2.529,2.169,13.081
1981-01-13,,0.935,5.792,2.862,13.296
1981-01-14,,0.837,9.687,3.459,12.947
1981-01-15,,0.756,13.595,2.609,13.035
1981-01-16,,0.775,8.0,1.524,13.813
1981-01-17,,0.935,5.492,2.392,13.094
1981-01-18,,1.134,4.294,2.259,13.042
1981-01-19,,1.232,4.138,2.241,13.813
1981-01-20,,1.232,5.604,3.048,13.363
1981-01-21,,1.175,6.025,2.871,11.947
1981-01-22,,1.11,8.224,1.499,11.658
1981-01-23,,1.098,7.443,1.328,11.598
1981-01-24,,1.14,2.594,0.923,12.824
1981-01-25,,1.217,3.422,1.205,12.667
1981-01-26,,1.295,7.271,2.467,13.219
1981-01-27,,1.371,7.475,1.028,12.294
1981-01-28,,1.487,6.681,2.44,11.582
1981-01-29,,1.598,3.909,2.296,12.699
1981-01-30,,1.677,2.213,1.554,13.495
1981-01-31,,1.684,0.905,1.68,12.22
1981-02-01,,1.534,0.975,0.559,14.085
1981-02-02,,1.475,2.431,1.819,14.71
1981-02-03,,1.404,3.418,3.075,12.878
1981-02-04,,1.315,4.652,3.268,12.741
1981-02-05,,1.238,3.896,2.651,13.252
1981-02-06,,1.177,5.972,3.098,12.02
1981-02-07,,1.156,10.505,3.177,11.634
1981-02-08,,1.185,6.947,3.155,11.581
1981-02-09,,1.256,8.988,3.015,11.1
1981-02-10,,1.374,7.399,2.046,12.475
1981-02-11,,1.511,2.047,2.671,13.336
1981-02-12,,1.62,0.181,0.991,13.9
1981-02-13,,1.683,8.314,2.297,12.201
1981-02-14,,1.645,5.452,2.881,12.067
1981-02-15,,1.559,11.565,2.002,11.946
1981-02-16,,1.529,6.976,2.278,11.376
1981-02-17,,1.556,0.947,1.702,13.443
1981-02-18,,1.624,3.609,2.657,12.339
1981-02-19,,1.709,5.256,2.37,12.972
1981-02-20,,1.745,3.621,2.559,12.23
1981-02-21,,1.708,2.545,2.066,13.126
1981-02-22,,1.62,2.143,2.798,12.408
1981-02-23,,1.544,4.049,2.724,12.478
1981-02-24,,1.475,12.124,2.579,13.236
1981-02-25,,1.439,5.694,2.096,11.195
1981-02-26,,1.51,4.359,2.498,12.107
1981-02-27,,1.691,4.309,1.608,12.8
1981-02-28,,1.888,2.971,1.206,12.1
1981-03-01,,1.892,3.365,0.74,14.173
1981-03-02,,1.904,6.909,2.288,13.891
1981-03-03,,1.886,4.162,1.413,14.325
1981-03-04,,1.856,5.936,3.135,12.863
1981-03-05,,1.868,5.408,2.043,13.626
1981-03-06,,1.868,5.764,2.362,12.908
1981-03-07,,1.854,8.066,3.118,13.513
1981-03-08,,1.849,8.006,3.548,14.046
1981-03-09,,1.882,6.189,2.987,12.949
1981-03-10,,1.95,10.176,2.914,13.212
1981-03-11,,2.003,14.862,2.925,12.882
1981-03-12,,2.102,8.615,2.484,12.021
1981-03-13,,2.206,4.354,1.291,12.92
1981-03-14,,2.353,2.586,0.777,14.239
1981-03-15,,2.431,0.481,0.824,15.279
1981-03-16,,2.436,0.549,0.245,15.398
1981-03-17,,2.394,5.148,2.907,13.039
1981-03-18,,2.307,6.897,1.794,12.494
1981-03-19,,2.229,6.321,1.077,12.831
1981-03-20,,2.187,3.805,0.275,12.726
1981-03-21,,2.129,2.257,0.487,12.769
1981-03-22,,2.085,1.304,0.512,13.199
1981-03-23,,1.983,2.219,0.907,14.138
1981-03-24,,1.844,3.854,0.62,12.911
1981-03-25,,1.685,3.993,1.59,11.58
1981-03-26,,1.577,0.144,0.886,12.663
1981-03-27,,1.485,0.023,0.26,14.076
1981-03-28,,1.438,0.008,-0.966,15.681
1981-03-29,,1.365,0.084,-1.591,14.816
1981-03-30,,1.24,0.007,-0.314,13.742
1981-03-31,,1.118,0.004,-0.729,13.771
1981-04-01,,0.901,0.209,-1.078,14.247
1981-04-02,,0.803,1.009,0.025,13.968
1981-04-03,,0.729,1.034,1.388,13.863
1981-04-04,,0.698,1.638,0.783,12.305
1981-04-05,,0.679,6.462,-0.136,11.349
1981-04-06,,0.685,4.626,0.643,11.505
1981-04-07,,0.725,7.112,0.898,10.19
1981-04-08,,0.881,7.492,0.485,10.551
1981-04-09,,1.19,3.875,-0.118,11.598
1981-04-10,,1.499,7.396,0.2,11.554
1981-04-11,,1.721,6.563,0.629,10.593
1981-04-12,,1.926,0.601,-1.529,11.133
1981-04-13,,2.037,0.126,-1.372,12.079
1981-04-14,,2.266,0.194,0.276,12.916
1981-04-15,,2.301,0.184,-1.453,13.604
1981-04-16,,2.211,0.654,-0.162,12.542
1981-04-17,,2.02,0.729,0.346,13.628
1981-04-18,,1.892,0.147,-1.463,14.303
1981-04-19,,1.67,0.055,-1.009,14.283
1981-04-20,,1.489,0.095,-3.106,14.056
1981-04-21,,1.271,0.414,-2.343,14.383
1981-04-22,,1.108,0.061,-1.27,15.357
1981-04-23,,0.961,0.179,-2.245,15.587
1981-04-24,,0.834,0.542,-2.263,14.976
1981-04-25,,0.75,0.099,-2.526,14.584
1981-04-26,,0.706,0.146,-1.468,14.753
1981-04-27,,0.671,0.19,-2.606,14.938
1981-04-28,,0.633,0.408,-3.09,15.231
1981-04-29,,0.603,0.896,-1.501,13.554
1981-04-30,,0.583,0.257,-3.24,14.0
1981-05-01,,0.564,0.035,-4.306,14.066
1981-05-02,,0.534,0.0,-6.621,14.193
1981-05-03,,0.517,0.099,-5.618,15.199
1981-05-04,,0.498,0.0,-5.723,15.385
1981-05-05,,0.479,0.0,-4.127,15.254
1981-05-06,,0.453,0.58,-1.768,14.113
1981-05-07,,0.435,0.948,-0.249,13.689
1981-05-08,,0.421,0.623,-3.11,14.127
1981-05-09,,0.415,0.692,-1.921,13.831
1981-05-10,,0.414,1.011,-1.569,12.678
1981-05-11,,0.404,0.571,-1.129,14.089
1981-05-12,,0.391,0.242,-0.512,13.626
1981-05-13,,0.385,0.235,-0.49,14.967
1981-05-14,,0.377,0.208,-5.317,14.308
1981-05-15,,0.365,0.231,-5.33,14.412
1981-05-16,,0.355,0.242,-6.403,13.908
1981-05-17,,0.344,0.026,-4.116,13.848
1981-05-18,,0.335,0.0,-4.3,14.544
1981-05-19,,0.327,0.001,-5.312,15.077
1981-05-20,,0.312,0.435,-3.959,14.959
1981-05-21,,0.304,0.392,-0.174,13.573
1981-05-22,,0.301,0.123,-3.409,13.409
1981-05-23,,0.303,0.003,-5.783,14.263
1981-05-24,,0.307,0.03,-6.354,14.802
1981-05-25,,0.308,0.065,-6.119,14.769
1981-05-26,,0.304,0.0,-4.456,14.353
1981-05-27,,0.295,0.0,-7.478,14.405
1981-05-28,,0.284,0.0,-8.769,14.596
1981-05-29,,0.272,0.0,-7.141,14.288
1981-05-30,,0.263,0.0,-5.186,14.867
1981-05-31,,0.253,0.0,-4.742,14.925
1981-06-01,,0.252,0.017,-6.4,13.955
1981-06-02,,0.246,0.0,-8.697,14.064
1981-06-03,,0.241,0.016,-7.61,14.712
1981-06-04,,0.236,0.0,-5.861,13.86
1981-06-05,,0.23,0.0,-6.485,13.894
1981-06-06,,0.228,0.0,-10.477,12.999
1981-06-07,,0.225,0.042,-9.765,14.41
1981-06-08,,0.222,0.035,-9.318,13.744
1981-06-09,,0.218,0.03,-9.973,14.172
1981-06-10,,0.214,0.054,-7.982,14.204
1981-06-11,,0.212,0.163,-7.552,13.565
1981-06-12,,0.21,0.019,-7.338,13.857
1981-06-13,,0.206,0.025,-8.303,13.902
