Qobs,Precipitation,Peff,Qmean,Qinf_2_5,Qsup_97_5
2.808,14.1,13.639999999999999,2.808,2.808,2.808
4.951,3.7,3.24,3.1037060538717895,2.7162656127728133,3.3674436458594235
4.519,7.1,6.63,2.9913575289243655,2.6751652442419944,3.3362550282611503
4.386,9.3,8.83,3.1204047790848537,2.779863064407714,3.4039629922093972
5.35,7.1,6.619999999999999,3.5707535053173625,3.2703251436027605,3.855647159193323
4.652,1.2,0.72,3.806260512564373,3.4251759457414774,4.114183670001215
3.888,11.7,11.209999999999999,3.2794004924198505,2.8368651866106296,3.791270420777224
6.247,26.2,25.71,3.7420982951558006,3.418846422449467,4.20070457561472
10.966,33.6,33.1,6.048204858730056,5.613047144264666,6.364860263445195
14.821,51.1,50.6,9.517268541798728,9.069201435482288,10.030654889374715
9.172,4.1,3.5599999999999996,14.719154349824047,13.832875168383977,15.414755196507048
7.244,2.7,2.1500000000000004,14.499986361291777,8.65975040572719,15.604626983231679
5.815,0.2,0.0,12.445210425957503,8.115496867575716,13.714600610463677
4.885,0.0,0.0,9.700070736752423,7.003379393848608,11.045902807144575
4.32,0.0,0.0,7.1512757329241445,5.644625896035549,8.493786951658588
3.888,3.6,3.04,4.9761760158486945,3.8592644190511773,6.1581010605638875
3.855,0.1,0.0,3.643594262991565,2.7358636395801126,4.660894283119088
3.655,16.5,15.94,2.5243246141632207,1.8201685307223032,3.3869381733568305
5.417,0.2,0.0,3.4092395265535798,2.9558417819311664,4.054098711579872
3.655,0.0,0.0,3.098176748725452,2.5684060894529757,3.7033006137427105
3.157,0.2,0.0,2.4061529102575223,1.976219553089969,3.03152849093594
3.041,0.5,0.020000000000000018,1.7221241843844284,1.311011969720279,2.3012493739695694
2.874,0.0,0.0,1.15512222570734,0.8123097277844464,1.677699103978512
2.742,0.0,0.0,0.7369867550895636,0.4660742898190984,1.195182500210888
2.559,0.0,0.0,0.44094076729105114,0.2488519133190612,0.8097450182390356
2.459,0.0,0.0,0.25199875298174923,0.11716723472964687,0.5181619618882182
2.343,0.0,0.0,0.13813129846225086,0.054943417999505514,0.3062379250468659
2.26,0.0,0.0,0.07233352426631477,0.025189104527568118,0.1771682177974793
2.16,0.0,0.0,0.036920342864295096,0.009490139421628591,0.10850696253205439
2.077,3.6,3.1100000000000003,0.016755184552020203,0.0034543792667520194,0.05214448976987054
2.127,0.0,0.0,0.34916983834275506,0.3283247670923475,0.37181810261296666
2.044,0.0,0.0,0.3641303528212252,0.30736408481639127,0.4151498353465423
1.911,0.0,0.0,0.28322600376323714,0.23166810626203435,0.3428857293090324
1.778,0.0,0.0,0.19033835693696793,0.14536456028438363,0.25352600639687123
1.678,0.0,0.0,0.11803653006115818,0.08198338058976992,0.16704795389154567
1.625,0.0,0.0,0.06925965435376762,0.0433608933379912,0.11301043029234581
1.559,0.0,0.0,0.0376767464456029,0.02045219626120404,0.07170007828251007
1.446,3.6,3.0,0.019472688749129382,0.008869148506738766,0.04044899782886988
1.376,1.9,1.29,0.33937718854691584,0.31172520191652026,0.36126028045911407
1.376,5.6,4.97,0.48976346976978014,0.45176053307991904,0.5260197947918216
1.376,1.0,0.36,0.9679765058374221,0.8976859387021466,1.012138177993216
1.376,0.0,0.0,0.9592943204440924,0.8324085006276192,1.0547559550717156
1.382,5.8,5.14,0.7572646900910904,0.6276485757433067,0.8865397047672671
1.811,0.0,0.0,1.1001064629631792,0.9886734989550249,1.1884037041577808
1.794,0.0,0.0,0.980642933904704,0.8477629854604065,1.1295761128994841
3.174,11.3,10.59,0.7428033804371802,0.6210143774027639,0.9205941624552424
4.818,10.2,9.469999999999999,1.6705045991277396,1.560851111099995,1.73366091887492
3.788,0.0,0.0,2.6916365596536247,2.5227433825451135,2.836631125738524
2.658,0.0,0.0,2.532716255882966,2.2392800438603238,2.8095055281001247
2.243,0.0,0.0,2.011964724252473,1.74504367720743,2.3840759156108615
2.077,0.0,0.0,1.436386014865341,1.16105728209474,1.8420156799509684
2.26,6.0,5.13,0.9646374056502903,0.7192958294401629,1.3425984853640545
2.675,6.0,5.11,1.168888724241664,0.9932128768127121,1.4472344732567295
2.941,0.0,0.0,1.5587220841770777,1.363407678709891,1.7492282642068615
2.226,0.2,0.0,1.3856382791205646,1.2016727323172842,1.6425838071211778
2.027,0.0,0.0,1.044677792473958,0.834024226204536,1.3139522489633926
1.961,0.0,0.0,0.724454808512694,0.557607424580888,0.9996506943635332
1.944,0.0,0.0,0.46650762194992484,0.32690400644063367,0.6935713812671738
1.911,0.0,0.0,0.2817128668852588,0.1688969319348445,0.45555397098763156
1.794,0.0,0.0,0.16240583930692698,0.08840128725652456,0.2896128696584607
1.761,0.6,0.0,0.08817934422339178,0.04032872170758346,0.18859536867474666
1.794,0.0,0.0,0.045577090413760624,0.01619233187868225,0.10696377530728614
1.711,1.0,0.0,0.02237741754864985,0.006839595525987682,0.05760132576478279
1.695,0.9,0.0,0.0108351333282241,0.002763183240528195,0.03274167140138853
1.745,2.1,0.9300000000000002,0.004963343166284755,0.0010184485665153589,0.01662414055857599
1.761,10.0,8.81,0.10446106642846294,0.09865631013689873,0.11119021714655428
3.489,13.8,12.59,1.0681454953784995,0.9477583921949961,1.147386947006308
3.755,0.4,0.0,2.531233171878045,2.276428962191765,2.6919502485849507
2.426,4.2,2.95,2.547666179944706,2.211251225796426,2.8347534090323077
2.426,0.6,0.0,2.3961616516069237,2.1102103292978636,2.634598140203734
2.243,0.0,0.0,1.8901939012468387,1.5289103251618605,2.261931943728247
2.044,0.0,0.0,1.3551942355070041,1.1147852033244376,1.7168058540379756
1.844,0.0,0.0,0.9064853614824664,0.6725297124625081,1.2364592828233574
1.828,1.4,0.04999999999999982,0.5726554310199644,0.38269814362207927,0.8802321639506037
2.908,18.6,17.220000000000002,0.34488310194053806,0.20454431045087088,0.5826595336282848
4.154,0.4,0.0,2.0896085459521982,1.9882193768962955,2.15972040226009
3.007,6.5,5.07,2.2563688610048684,2.0169355075413287,2.450901778997065
3.356,0.1,0.0,2.4491259163181804,2.226624049865873,2.698704352945394
2.874,3.7,2.21,2.0474257475343474,1.7549417197553776,2.4114467676215776
3.107,0.0,0.0,1.7629907056722915,1.4979309127285703,2.1136683423587344
2.941,0.9,0.0,1.3247288480362058,1.093791020668904,1.7152205999876526
2.625,0.0,0.0,0.9145706890199722,0.7057581445068218,1.2517004365546511
2.492,0.0,0.0,0.5879916476474637,0.4066959278316132,0.8645394560976746
2.31,0.0,0.0,0.3574849898587993,0.2159175639706679,0.5946942772405882
2.16,0.0,0.0,0.2079192211169896,0.11039940391827471,0.3932610742005723
2.127,0.0,0.0,0.11411506512686023,0.04995978053987177,0.22794113743392969
1.977,0.0,0.0,0.05916521229717364,0.02201431942530036,0.13768929556372508
