## adnan2021comparison
| N° | Texto literal                                                                                                                                                                                                                                                                                                                                                                                                                          | Pág./Sección                                                                                 | Eje          | Tipo                       | Razón                                                                                                                                                              |
| -- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------- | ------------ | -------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------ |
| 1  | **"Comparison results revealed that the newly developed hybridized MARS-Kmeans method performed superior to the OPELM, MARS, M5Tree and MLR methods in prediction of 1-, 6- and 12-h ahead runoff. Comparison with conceptual method showed that all the machine learning models outperformed the EBA4SUB and OPELM provided slightly better performance than the other three alternatives in event-based rainfall–runoff modeling."** | **p. 1, Abstract** (Ctrl+F: *"Comparison results revealed that"*)                            | **(1)**      | **[HALLAZGO/NÚMERO]**      | Es la frase-ancla del artículo: compara ML híbrido vs conceptual.                                                                                                  |
| 2  | **"However, physical and conceptual-based models require much climatic input data that is very difficult to obtain in highly altitude scarce catchments [...] Data intensive nature of these models makes them impractical especially in developing countries."**                                                                                                                                                                      | **p. 2, Introduction** (Ctrl+F: *"However, physical and conceptual-based"*)                  | **(1), (6)** | **[AFIRMACIÓN GENERAL]**   | Justifica la motivación para explorar aproximaciones híbridas o basadas en datos en cuencas altoandinas.                                                           |
| 3  | **"The findings of abovementioned studies revealed that hybrid models provided more accurate results than standalone models and that they modeled the nonlinear phenomena precisely."**                                                                                                                                                                                                                                                | **p. 4, Introduction** (Ctrl+F: *"The findings of abovementioned studies"*)                  | **(1)**      | **[AFIRMACIÓN GENERAL]**   | Excelente antecedente para la introducción de StoHyMoLAP.                                                                                                          |
| 4  | **"All selected models were evaluated using whole dataset by swapping the training and testing datasets to determine the representative dataset."**                                                                                                                                                                                                                                                                                    | **p. 4, Introduction** (Ctrl+F: *"All selected models were evaluated"*)                      | **(4)**      | **[DEFINICIÓN/MÉTODO]**    | Muy útil para discutir validación temporal y evitar optimismo por una única partición. No habla explícitamente de leakage, pero sí de una validación más robusta.  |
| 5  | **"Training and testing datasets were exchanged without applying randomization."**                                                                                                                                                                                                                                                                                                                                                     | **p. 10, Results and discussion** (Ctrl+F: *"Training and testing datasets were exchanged"*) | **(4)**      | **[DEFINICIÓN/MÉTODO]**    | Muy buena cita para defender validación temporal estricta frente a particiones aleatorias.                                                                         |
| 6  | **"Using only previous rainfall data as input variables [...] the RMSE and MAE are higher and the NSE value was lower than 8% [...] Beyond the second input combination (iii to v), for which previous runoff was included as input variables, the performances of the models were significantly improved."**                                                                                                                          | **pp. 10–11, Results** (Ctrl+F: *"Using only previous rainfall data"*)                       | **(6)**      | **[HALLAZGO/NÚMERO]**      | Respalda directamente la importancia de la memoria hidrológica/baseflow mediante rezagos de caudal.                                                                |
| 7  | **"These results also suggest that using previous runoff data as input variable is appropriate and contribute to an improvement of the models’ accuracy."**                                                                                                                                                                                                                                                                            | **p. 13, Results** (Ctrl+F: *"These results also suggest"*)                                  | **(6)**      | **[AFIRMACIÓN GENERAL]**   | Cita muy alineada con tu argumento sobre memoria hidrológica y reservorio/baseflow.                                                                                |
| 8  | **"The best accuracy was observed for MARS-Kmeans [...] Nevertheless, the NSE values were the highest for one hour ahead and decreased with increasing horizon, from one to six hours in advance."**                                                                                                                                                                                                                                   | **p. 17, Results** (Ctrl+F: *"Nevertheless, the NSE values"*)                                | **(1)**      | **[HALLAZGO/NÚMERO]**      | Útil para discutir degradación del desempeño conforme aumenta el horizonte de predicción.                                                                          |
| 9  | **"Excluding previous runoff information from the model inputs or including only rainfall information produces inaccurate models in hourly runoff prediction."**                                                                                                                                                                                                                                                                       | **p. 20, Conclusions** (Ctrl+F: *"Excluding previous runoff information"*)                   | **(6)**      | **[HALLAZGO/NÚMERO]**      | Probablemente la cita más fuerte para justificar incorporar memoria hidrológica en StoHyMoLAP.                                                                     |
| 10 | **"Including previous runoff in the model’s inputs considerably improves the accuracy (increments in RMSE and MAE are generally more than 90%)."**                                                                                                                                                                                                                                                                                     | **p. 20, Conclusions** (Ctrl+F: *"Including previous runoff"*)                               | **(6)**      | **[HALLAZGO/NÚMERO]**      | Aporta además un valor cuantitativo (>90%) que puede citarse en la discusión.                                                                                      |
| 11 | **"The main limitation of the presented study is the lack of data for a longer period. Hourly data of one catchment covering a 4-year period were used in the study, and for future studies, more data from different climatic regions should be considered."**                                                                                                                                                                        | **p. 21, Conclusions** (Ctrl+F: *"The main limitation of the presented study"*)              | **(7)**      | **[LIMITACIÓN/CONTRASTE]** | Muy útil para la discusión crítica y para contrastar con tu validación más rigurosa y tu énfasis en reproducibilidad.                                              |

##arsenault2022continuous
| N°     | Texto literal                                                                                                                                                                                                                                                                                                               | Pág./Sección                                                                           | Eje          | Tipo                       | Razón                                                                                                                           |
| ------ | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------- | ------------ | -------------------------- | ------------------------------------------------------------------------------------------------------------------------------- |
| **1**  | **"Continuous streamflow prediction in ungauged basins: long short-term memory neural networks clearly outperform traditional hydrological models."** *(título del artículo)*                                                                                                                                               | **p. 1, Title** (Ctrl+F: **"Continuous streamflow prediction"**)                       | **(1)**      | **[AFIRMACIÓN GENERAL]**   | Es la tesis central del artículo y resume el contraste entre modelos físicos y LSTM.                                            |
| **2**  | **"The LSTM networks were able to clearly outperform the hydrological models in a leave-one-out cross-validation regionalization setting on most catchments in the study area, with the LSTM model outperforming the hydrological models in 93 % to 97 % of catchments depending on the hydrological model."**              | **p. 1, Abstract** (Ctrl+F: **"The LSTM networks were"**)                              | **(1), (4)** | **[HALLAZGO/NÚMERO]**      | Resultado cuantitativo muy fuerte para justificar el uso de DL frente a modelos hidrológicos bajo validación espacial estricta. |
| **3**  | **"Furthermore, for up to 78 % of the catchments, the LSTM model was able to predict streamflow more accurately on pseudo-ungauged catchments than hydrological models calibrated on the target data..."**                                                                                                                  | **p. 1, Abstract** (Ctrl+F: **"Furthermore, for up to"**)                              | **(1), (4)** | **[HALLAZGO/NÚMERO]**      | Excelente evidencia de que un LSTM regional puede superar incluso modelos calibrados localmente.                                |
| **4**  | **"The ability to simulate streamflow at ungauged sites is a major unresolved problem in hydrology (Blöschl et al., 2019)."**                                                                                                                                                                                               | **p. 1, Introduction** (Ctrl+F: **"The ability to simulate"**)                         | **(1)**      | **[AFIRMACIÓN GENERAL]**   | Frase introductoria clásica para justificar la importancia científica del problema.                                             |
| **5**  | **"This property makes it particularly well suited to hydrological streamflow simulation/forecast problems where data series are typically strongly autocorrelated."**                                                                                                                                                      | **p. 2, Introduction** (Ctrl+F: **"This property makes it"**)                          | **(1), (6)** | **[DEFINICIÓN/MÉTODO]**    | Justifica por qué LSTM puede representar memoria hidrológica y dependencias temporales.                                         |
| **6**  | **"This work showed the potential that LSTM models have in terms of representing the hydrological processes without having to make assumptions and hypotheses on their nature and structure."**                                                                                                                             | **p. 2, Introduction** (Ctrl+F: **"This work showed the"**)                            | **(1)**      | **[AFIRMACIÓN GENERAL]**   | Muy útil para discutir diferencias entre modelos conceptuales y aprendizaje basado en datos.                                    |
| **7**  | **"Both scaling operations were performed on the training catchments (i.e. all except the ungauged catchment) only, leaving both validation catchments and testing catchments out of the process to fit the scalers' parameters to avoid contaminating the scaler with information it is not supposed to have access to."** | **p. 8, Methods (LSTM regionalization model)** (Ctrl+F: **"Both scaling operations"**) | **(4)**      | **[DEFINICIÓN/MÉTODO]**    | Muy relevante para respaldar tu discusión sobre **information leakage** y validación temporal rigurosa.                         |
| **8**  | **"The LSTM model's median NSE of 0.78 is also better than BEST-HM (median NSE of 0.66)."**                                                                                                                                                                                                                                 | **p. 9, Results** (Ctrl+F: **"The LSTM model's median"**)                              | **(1)**      | **[HALLAZGO/NÚMERO]**      | Resultado compacto y fácilmente citables para comparar desempeño global.                                                        |
| **9**  | **"The LSTM simply ingests all the available information and then builds its internal structure from the data to match the observations."**                                                                                                                                                                                 | **p. 12, Discussion** (Ctrl+F: **"The LSTM simply ingests"**)                          | **(1), (2)** | **[AFIRMACIÓN GENERAL]**   | Muy útil para introducir la idea de aprendizaje de representaciones a partir de múltiples descriptores físicos.                 |
| **10** | **"Another limitation is the need for long observation data time series to adequately train the LSTM models compared to traditional hydrological models."**                                                                                                                                                                 | **p. 15, Discussion** (Ctrl+F: **"Another limitation is"**)                            | **(1)**      | **[LIMITACIÓN/CONTRASTE]** | Importante para una discusión equilibrada sobre las limitaciones de DL.                                                         |
| **11** | **"The results in this study showed that the LSTM model generally outperformed the hydrological model-based methods using the same available data."**                                                                                                                                                                       | **p. 16, Conclusion** (Ctrl+F: **"The results in this"**)                              | **(1)**      | **[AFIRMACIÓN GENERAL]**   | Conclusión oficial del artículo; muy apropiada para cerrar la revisión del estado del arte.                                     |
| **12** | **"The LSTM model therefore seems to have a better representation of the rainfall–runoff process as learned from the data directly than the hydrological models have in their conceptualization."**                                                                                                                         | **p. 16, Conclusion** (Ctrl+F: **"The LSTM model therefore"**)                         | **(1)**      | **[AFIRMACIÓN GENERAL]**   | Resume el principal argumento científico del trabajo respecto a la representación lluvia–escorrentía.                           |

##demirel2013effect
| N° | Texto literal                                                                                                                                                                                                                                                                                                                                                                                                     | Pág./Sección (Ctrl+F)                                                                         | Eje         | Tipo                       | Razón                                                                                                                              |
| -- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | --------------------------------------------------------------------------------------------- | ----------- | -------------------------- | ---------------------------------------------------------------------------------------------------------------------------------- |
| 1  | **"The results of this study showed that the parameter uncertainty has the largest effect whereas the input uncertainty had the smallest effect on the medium range low flow forecasts."**                                                                                                                                                                                                                        | **p. 1, Abstract** (Ctrl+F: *"The results of this study showed"*)                             | **5, 6**    | **[HALLAZGO/NÚMERO]**      | Es la principal conclusión del artículo y respalda la importancia de cuantificar adecuadamente la incertidumbre en bajos caudales. |
| 2  | **"It has been commonly accepted that model inputs, parameters, initial conditions, and structure are the major sources of uncertainty in conceptual hydrological models."**                                                                                                                                                                                                                                      | **p. 2, Introduction** (Ctrl+F: *"It has been commonly accepted"*)                            | **3, 5**    | **[AFIRMACIÓN GENERAL]**   | Excelente cita para justificar la descomposición explícita de fuentes de incertidumbre en StoHyMoLAP.                              |
| 3  | **"The objectives of this study are to assess (1) the uncertainty from ECMWF ensemble forecasted precipitation and potential evapotranspiration; (2) the uncertainty from the parameters of two hydrological models by using the GLUE framework; (3) the uncertainty due to the initial conditions; and (4) the effect of these uncertainties on different low flow forecast quality and reliability measures."** | **p. 3, Introduction** (Ctrl+F: *"The objectives of this study are"*)                         | **3, 5, 6** | **[DEFINICIÓN/MÉTODO]**    | Muy útil para justificar una metodología de propagación sistemática de incertidumbre.                                              |
| 4  | **"Assessing the isolated three major sources of uncertainty, i.e., model input, parameters, and initial conditions, in ensemble low flow forecasts by applying all steps from identification to communication of uncertainty, is an innovative way to understand and explain the effects of different uncertainties on the skill of low flow forecasts."**                                                       | **p. 3, Introduction** (Ctrl+F: *"Assessing the isolated three"*)                             | **3, 5**    | **[AFIRMACIÓN GENERAL]**   | Respalda metodológicamente un enfoque que separa y audita las distintas fuentes de incertidumbre.                                  |
